1760825269.546068 server started (89157): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1760825269.546122 on Darwin 25.0.0 Darwin Kernel Version 25.0.0: Wed Sep 17 21:41:26 PDT 2025; root:xnu-12377.1.9~141/RELEASE_ARM64_T6041
1760825269.546132 using libevent 2.1.12-stable select
1760825269.546144 using utf8proc 2.11.0
1760825269.546151 using ncurses 6.5 20240427
1760825269.546527 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1760825269.546532 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1760825269.546536 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1760825269.546541 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1760825269.546545 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1760825269.546550 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1760825269.546554 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1760825269.546560 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1760825269.546565 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1760825269.546570 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1760825269.546574 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1760825269.546578 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1760825269.546583 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1760825269.546587 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1760825269.546591 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1760825269.546596 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1760825269.546600 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1760825269.546605 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1760825269.546615 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1760825269.546619 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1760825269.546623 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1760825269.546626 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1760825269.546630 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1760825269.546633 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1760825269.546637 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1760825269.546640 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1760825269.546643 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1760825269.546647 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1760825269.546650 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1760825269.546654 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1760825269.546657 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1760825269.546660 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1760825269.546664 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1760825269.546667 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1760825269.546670 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1760825269.546674 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1760825269.546678 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1760825269.546681 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1760825269.546684 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1760825269.546687 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1760825269.546691 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1760825269.546694 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1760825269.546698 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1760825269.546701 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1760825269.546704 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1760825269.546708 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1760825269.546711 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1760825269.546714 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1760825269.546718 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1760825269.546721 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1760825269.546724 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1760825269.546728 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1760825269.546731 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1760825269.546734 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1760825269.546738 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1760825269.546741 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1760825269.546745 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1760825269.546748 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1760825269.546752 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1760825269.546755 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1760825269.546758 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1760825269.546762 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1760825269.546765 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1760825269.546768 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1760825269.546772 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1760825269.546776 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1760825269.546779 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1760825269.546783 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1760825269.546786 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1760825269.546789 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1760825269.546793 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1760825269.546796 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1760825269.546799 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1760825269.546803 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1760825269.546806 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1760825269.546815 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1760825269.546818 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1760825269.546822 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1760825269.546825 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1760825269.546828 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1760825269.546832 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1760825269.546835 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1760825269.546839 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1760825269.546842 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1760825269.546846 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1760825269.546849 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1760825269.546853 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1760825269.546856 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1760825269.546859 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1760825269.546863 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1760825269.546866 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1760825269.546869 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1760825269.546873 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1760825269.546876 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1760825269.546880 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1760825269.546883 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1760825269.546886 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1760825269.546890 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1760825269.546893 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1760825269.546897 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1760825269.546900 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1760825269.546903 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1760825269.546907 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1760825269.546910 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1760825269.546914 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1760825269.546917 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1760825269.546921 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1760825269.546924 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1760825269.546928 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1760825269.546931 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1760825269.546934 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1760825269.546938 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1760825269.546941 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1760825269.546944 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1760825269.546948 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1760825269.546951 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1760825269.546958 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1760825269.546962 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1760825269.546965 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1760825269.546969 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1760825269.546972 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1760825269.546976 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1760825269.546979 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1760825269.546983 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1760825269.546986 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1760825269.546989 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1760825269.546993 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1760825269.546996 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1760825269.546999 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1760825269.547007 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1760825269.547010 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1760825269.547014 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1760825269.547017 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1760825269.547020 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1760825269.547024 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1760825269.547027 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1760825269.547030 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1760825269.547034 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1760825269.547037 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1760825269.547041 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1760825269.547044 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1760825269.547047 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1760825269.547050 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1760825269.547054 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1760825269.547057 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1760825269.547060 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1760825269.547064 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1760825269.547067 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1760825269.547070 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1760825269.547074 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1760825269.547077 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1760825269.547081 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1760825269.547084 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1760825269.547088 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1760825269.547091 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1760825269.547094 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1760825269.547098 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1760825269.547101 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1760825269.547105 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1760825269.547108 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1760825269.547111 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1760825269.547114 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1760825269.547118 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1760825269.547121 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1760825269.547125 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1760825269.547128 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1760825269.547131 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1760825269.547135 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1760825269.547138 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1760825269.547142 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1760825269.547145 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1760825269.547148 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1760825269.547152 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1760825269.547210 yylex_token: end at WS
1760825269.547215 yylex_token: bind
1760825269.547219 yylex_token: end at WS
1760825269.547222 yylex_token: -N
1760825269.547228 yylex_token: end at WS
1760825269.547231 yylex_token: Send the prefix key
1760825269.547235 yylex_token: end at WS
1760825269.547238 yylex_token: C-b
1760825269.547242 yylex_token: end at WS
1760825269.547245 yylex_token: send-prefix
1760825269.547251 cmd_parse_build_commands 0:0: bind
1760825269.547255 cmd_parse_build_commands 0:1: -N
1760825269.547258 cmd_parse_build_commands 0:2: Send the prefix key
1760825269.547262 cmd_parse_build_commands 0:3: C-b
1760825269.547266 cmd_parse_build_commands 0:4 0:0: send-prefix
1760825269.547301 cmd_parse_build_commands 0:0: send-prefix
1760825269.547318 args_parse: flags end at 1 of 1
1760825269.547324 cmd_parse_build_commands: send-prefix
1760825269.547328 args_parse_flags: next -N
1760825269.547332 args_parse_flag_argument: -N = Send the prefix key
1760825269.547336 args_parse_flags: next C-b
1760825269.547339 args_parse: flags end at 3 of 5
1760825269.547343 args_parse: 3 = C-b (type STRING)
1760825269.547349 args_parse: 4 = send-prefix (type COMMANDS)
1760825269.547381 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1760825269.547404 cmdq_get_command: [bind-key/0x95d80f600] group 2
1760825269.547409 cmdq_append <global>: [bind-key/0x95d80f600]
1760825269.547413 yylex_token: end at WS
1760825269.547417 yylex_token: bind
1760825269.547420 yylex_token: end at WS
1760825269.547423 yylex_token: -N
1760825269.547428 yylex_token: end at WS
1760825269.547431 yylex_token: Rotate through the panes
1760825269.547435 yylex_token: end at WS
1760825269.547439 yylex_token: C-o
1760825269.547444 yylex_token: end at WS
1760825269.547448 yylex_token: rotate-window
1760825269.547452 cmd_parse_build_commands 0:0: bind
1760825269.547455 cmd_parse_build_commands 0:1: -N
1760825269.547459 cmd_parse_build_commands 0:2: Rotate through the panes
1760825269.547463 cmd_parse_build_commands 0:3: C-o
1760825269.547467 cmd_parse_build_commands 0:4 0:0: rotate-window
1760825269.547474 cmd_parse_build_commands 0:0: rotate-window
1760825269.547480 args_parse: flags end at 1 of 1
1760825269.547485 cmd_parse_build_commands: rotate-window
1760825269.547489 args_parse_flags: next -N
1760825269.547493 args_parse_flag_argument: -N = Rotate through the panes
1760825269.547498 args_parse_flags: next C-o
1760825269.547502 args_parse: flags end at 3 of 5
1760825269.547506 args_parse: 3 = C-o (type STRING)
1760825269.547508 args_parse: 4 = rotate-window (type COMMANDS)
1760825269.547512 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1760825269.547514 cmdq_get_command: [bind-key/0x95d80f700] group 10
1760825269.547515 cmdq_append <global>: [bind-key/0x95d80f700]
1760825269.547517 yylex_token: end at WS
1760825269.547518 yylex_token: bind
1760825269.547519 yylex_token: end at WS
1760825269.547520 yylex_token: -N
1760825269.547522 yylex_token: end at WS
1760825269.547524 yylex_token: Suspend the current client
1760825269.547525 yylex_token: end at WS
1760825269.547526 yylex_token: C-z
1760825269.547528 yylex_token: end at WS
1760825269.547529 yylex_token: suspend-client
1760825269.547530 cmd_parse_build_commands 0:0: bind
1760825269.547532 cmd_parse_build_commands 0:1: -N
1760825269.547533 cmd_parse_build_commands 0:2: Suspend the current client
1760825269.547534 cmd_parse_build_commands 0:3: C-z
1760825269.547536 cmd_parse_build_commands 0:4 0:0: suspend-client
1760825269.547537 cmd_parse_build_commands 0:0: suspend-client
1760825269.547540 args_parse: flags end at 1 of 1
1760825269.547541 cmd_parse_build_commands: suspend-client
1760825269.547543 args_parse_flags: next -N
1760825269.547544 args_parse_flag_argument: -N = Suspend the current client
1760825269.547545 args_parse_flags: next C-z
1760825269.547546 args_parse: flags end at 3 of 5
1760825269.547548 args_parse: 3 = C-z (type STRING)
1760825269.547549 args_parse: 4 = suspend-client (type COMMANDS)
1760825269.547553 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1760825269.547554 cmdq_get_command: [bind-key/0x95d80f800] group 18
1760825269.547556 cmdq_append <global>: [bind-key/0x95d80f800]
1760825269.547557 yylex_token: end at WS
1760825269.547558 yylex_token: bind
1760825269.547560 yylex_token: end at WS
1760825269.547561 yylex_token: -N
1760825269.547564 yylex_token: end at WS
1760825269.547565 yylex_token: Select next layout
1760825269.547569 yylex_token: end at WS
1760825269.547570 yylex_token: Space
1760825269.547572 yylex_token: end at WS
1760825269.547573 yylex_token: next-layout
1760825269.547575 cmd_parse_build_commands 0:0: bind
1760825269.547578 cmd_parse_build_commands 0:1: -N
1760825269.547579 cmd_parse_build_commands 0:2: Select next layout
1760825269.547580 cmd_parse_build_commands 0:3: Space
1760825269.547582 cmd_parse_build_commands 0:4 0:0: next-layout
1760825269.547583 cmd_parse_build_commands 0:0: next-layout
1760825269.547585 args_parse: flags end at 1 of 1
1760825269.547587 cmd_parse_build_commands: next-layout
1760825269.547588 args_parse_flags: next -N
1760825269.547589 args_parse_flag_argument: -N = Select next layout
1760825269.547591 args_parse_flags: next Space
1760825269.547592 args_parse: flags end at 3 of 5
1760825269.547593 args_parse: 3 = Space (type STRING)
1760825269.547595 args_parse: 4 = next-layout (type COMMANDS)
1760825269.547598 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1760825269.547600 cmdq_get_command: [bind-key/0x95d80f900] group 26
1760825269.547601 cmdq_append <global>: [bind-key/0x95d80f900]
1760825269.547603 yylex_token: end at WS
1760825269.547604 yylex_token: bind
1760825269.547605 yylex_token: end at WS
1760825269.547607 yylex_token: -N
1760825269.547609 yylex_token: end at WS
1760825269.547610 yylex_token: Break pane to a new window
1760825269.547611 yylex_token: end at WS
1760825269.547612 yylex_token: !
1760825269.547614 yylex_token: end at WS
1760825269.547615 yylex_token: break-pane
1760825269.547617 cmd_parse_build_commands 0:0: bind
1760825269.547618 cmd_parse_build_commands 0:1: -N
1760825269.547619 cmd_parse_build_commands 0:2: Break pane to a new window
1760825269.547620 cmd_parse_build_commands 0:3: !
1760825269.547622 cmd_parse_build_commands 0:4 0:0: break-pane
1760825269.547624 cmd_parse_build_commands 0:0: break-pane
1760825269.547627 args_parse: flags end at 1 of 1
1760825269.547628 cmd_parse_build_commands: break-pane
1760825269.547630 args_parse_flags: next -N
1760825269.547632 args_parse_flag_argument: -N = Break pane to a new window
1760825269.547634 args_parse_flags: next !
1760825269.547635 args_parse: flags end at 3 of 5
1760825269.547637 args_parse: 3 = ! (type STRING)
1760825269.547640 args_parse: 4 = break-pane (type COMMANDS)
1760825269.547645 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1760825269.547647 cmdq_get_command: [bind-key/0x95d80fa00] group 34
1760825269.547649 cmdq_append <global>: [bind-key/0x95d80fa00]
1760825269.547651 yylex_token: end at WS
1760825269.547653 yylex_token: bind
1760825269.547654 yylex_token: end at WS
1760825269.547656 yylex_token: -N
1760825269.547658 yylex_token: end at WS
1760825269.547660 yylex_token: Split window vertically
1760825269.547662 yylex_token: end at WS
1760825269.547664 yylex_token: "
1760825269.547666 yylex_token: end at WS
1760825269.547668 yylex_token: split-window
1760825269.547670 cmd_parse_build_commands 0:0: bind
1760825269.547672 cmd_parse_build_commands 0:1: -N
1760825269.547674 cmd_parse_build_commands 0:2: Split window vertically
1760825269.547676 cmd_parse_build_commands 0:3: "
1760825269.547678 cmd_parse_build_commands 0:4 0:0: split-window
1760825269.547680 cmd_parse_build_commands 0:0: split-window
1760825269.547683 args_parse: flags end at 1 of 1
1760825269.547685 cmd_parse_build_commands: split-window
1760825269.547686 args_parse_flags: next -N
1760825269.547689 args_parse_flag_argument: -N = Split window vertically
1760825269.547692 args_parse_flags: next "
1760825269.547694 args_parse: flags end at 3 of 5
1760825269.547697 args_parse: 3 = " (type STRING)
1760825269.547699 args_parse: 4 = split-window (type COMMANDS)
1760825269.547704 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1760825269.547707 cmdq_get_command: [bind-key/0x95d80fb00] group 42
1760825269.547710 cmdq_append <global>: [bind-key/0x95d80fb00]
1760825269.547713 yylex_token: end at WS
1760825269.547716 yylex_token: bind
1760825269.547719 yylex_token: end at WS
1760825269.547722 yylex_token: -N
1760825269.547725 yylex_token: end at WS
1760825269.547728 yylex_token: List all paste buffers
1760825269.547730 yylex_token: end at WS
1760825269.547739 yylex_token: #
1760825269.547742 yylex_token: end at WS
1760825269.547745 yylex_token: list-buffers
1760825269.547748 cmd_parse_build_commands 0:0: bind
1760825269.547751 cmd_parse_build_commands 0:1: -N
1760825269.547754 cmd_parse_build_commands 0:2: List all paste buffers
1760825269.547756 cmd_parse_build_commands 0:3: #
1760825269.547758 cmd_parse_build_commands 0:4 0:0: list-buffers
1760825269.547760 cmd_parse_build_commands 0:0: list-buffers
1760825269.547762 args_parse: flags end at 1 of 1
1760825269.547764 cmd_parse_build_commands: list-buffers
1760825269.547766 args_parse_flags: next -N
1760825269.547768 args_parse_flag_argument: -N = List all paste buffers
1760825269.547770 args_parse_flags: next #
1760825269.547772 args_parse: flags end at 3 of 5
1760825269.547774 args_parse: 3 = # (type STRING)
1760825269.547776 args_parse: 4 = list-buffers (type COMMANDS)
1760825269.547780 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1760825269.547783 cmdq_get_command: [bind-key/0x95d80fc00] group 50
1760825269.547785 cmdq_append <global>: [bind-key/0x95d80fc00]
1760825269.547788 yylex_token: end at WS
1760825269.547791 yylex_token: bind
1760825269.547793 yylex_token: end at WS
1760825269.547795 yylex_token: -N
1760825269.547798 yylex_token: end at WS
1760825269.547800 yylex_token: Rename current session
1760825269.547802 yylex_token: end at WS
1760825269.547804 yylex_token: $
1760825269.547806 yylex_token: end at WS
1760825269.547808 yylex_token: command-prompt
1760825269.547809 yylex_token: end at WS
1760825269.547811 yylex_token: -I#S
1760825269.547814 yylex_token: end at WS
1760825269.547815 yylex_token: rename-session
